dataset,operation,group,label,size_bytes,actual_seconds,predicted_seconds,error_seconds,abs_error_seconds,ape_percent
integrity,hash,SHA3_256,SHA3_256,52428800.0,0.109699,0.109946221113,0.00024722111299999017,0.00024722111299999017,0.22536314187001721
integrity,hash,SHA3_256,SHA3_256,104857600.0,0.219809,0.219470217824,-0.00033878217600000204,0.00033878217600000204,0.15412570731862754
integrity,hash,SHA3_256,SHA3_256,1048576000.0,2.195352,0.219808995724,-1.9755430042760003,1.9755430042760003,89.9875283907091
reliability,encode,RS:4:2,RS k=4 m=2,1048576.0,0.001311,0.013123000041,0.011812000041,0.011812000041,900.9916125858123
reliability,decode,RS:4:2,RS k=4 m=2,1048576.0,0.00014,0.001904999954,0.001764999954,0.001764999954,1260.714252857143
reliability,encode,RS:4:2,RS k=4 m=2,10485760.0,0.013123,0.013102103025,-2.0896974999998555e-05,2.0896974999998555e-05,0.1592393126571558
reliability,decode,RS:4:2,RS k=4 m=2,10485760.0,0.001905,0.003011918394,0.0011069183939999999,0.0011069183939999999,58.105952440944876
reliability,encode,RS:4:2,RS k=4 m=2,52428800.0,0.065507,0.065013222396,-0.0004937776039999897,0.0004937776039999897,0.7537783809363728
reliability,decode,RS:4:2,RS k=4 m=2,52428800.0,0.015776,0.016472553834,0.0006965538340000001,0.0006965538340000001,4.41527531693712
reliability,encode,RS:4:2,RS k=4 m=2,104857600.0,0.129876,0.146173208952,0.016297208952000014,0.016297208952000014,12.548283710616293
reliability,decode,RS:4:2,RS k=4 m=2,104857600.0,0.034682,0.035834789276,0.001152789276000002,0.001152789276000002,3.3238835015281762
reliability,encode,RS:4:2,RS k=4 m=2,1048576000.0,1.598165,0.129876002669,-1.468288997331,1.468288997331,91.87342967284354
reliability,decode,RS:4:2,RS k=4 m=2,1048576000.0,0.396893,0.034681998193,-0.362211001807,0.362211001807,91.26162512490772
reliability,encode,RS:8:4,RS k=8 m=4,1048576.0,0.002388,0.02352900058,0.02114100058,0.02114100058,885.3015318257956
