algoritmo,size_mb,object_id,ratio_compresion,tiempo_compresion_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_comp_s,tiempo_io_read_comp_s,tiempo_descompresion_s
ZLIB,1000,3,159.01x,6.588972,0.297848,0.313988,0.001766,0.001698,1.089191
ZLIB,1000,4,159.01x,6.576285,0.300986,0.315571,0.001990,0.001980,1.090254
ZLIB,1000,5,159.01x,6.585205,0.298607,0.315124,0.001821,0.001690,1.087963
ZLIB,1000,6,159.01x,6.568693,0.302253,0.311421,0.002003,0.002019,1.086009
ZLIB,1000,7,159.01x,6.592160,0.298631,0.315275,0.001785,0.001671,1.084932
ZLIB,1000,8,159.01x,6.566748,0.299451,0.314157,0.001991,0.001985,1.087319
ZLIB,1000,9,159.01x,6.593221,0.300481,0.325505,0.001853,0.001691,1.089603
ZLIB,1000,10,159.01x,6.567982,0.296873,0.316757,0.002009,0.002017,1.085351
ZLIB,1000,11,159.01x,6.590170,0.310744,0.324961,0.001826,0.001659,1.077935
ZLIB,1000,12,159.01x,6.565041,0.305784,0.323850,0.002009,0.001951,1.093412
ZLIB,1000,13,159.01x,6.593319,0.311818,0.327977,0.001898,0.001694,1.085808
ZLIB,1000,14,159.01x,6.566112,0.310840,0.329206,0.002011,0.002003,1.093135
ZLIB,1000,15,159.01x,6.591390,0.302204,0.325782,0.001899,0.001774,1.099182
ZLIB,1000,16,159.01x,6.565934,0.298316,0.323720,0.002012,0.002053,1.093937
ZLIB,1000,17,159.01x,6.590544,0.299316,0.326602,0.001904,0.001757,1.103103
ZLIB,1000,18,159.01x,6.568023,0.312355,0.323593,0.002045,0.002098,1.096314
ZLIB,1000,19,159.01x,6.591883,0.306025,0.325516,0.001815,0.001735,1.099677
ZLIB,1000,20,159.01x,6.567317,0.302013,0.325788,0.002064,0.002029,1.098549
ZLIB,1000,21,159.01x,6.593720,0.311106,0.325319,0.001914,0.001748,1.099456
ZLIB,1000,22,159.01x,6.565998,0.303648,0.327557,0.002073,0.002047,1.092240
ZLIB,1000,23,159.01x,8.157836,0.302854,0.329991,0.001837,0.001742,1.093154
ZLIB,1000,24,159.01x,6.565122,0.308242,0.329069,0.002066,0.002029,1.100932
ZLIB,1000,25,159.01x,6.593570,0.310934,0.328678,0.001912,0.001738,1.102165
ZLIB,1000,26,159.01x,6.569728,0.313320,0.327933,0.002078,0.002189,1.095557
ZLIB,1000,27,159.01x,6.580466,0.301965,0.328322,0.001839,0.001727,1.085601
ZLIB,1000,28,159.01x,6.565437,0.309888,0.328834,0.002039,0.002051,1.089360
ZLIB,1000,29,159.01x,6.582088,0.304478,0.330771,0.001874,0.001738,1.096317
ZLIB,1000,30,159.01x,6.567933,0.306054,0.327629,0.002029,0.002087,1.094247
ZLIB,1000,31,159.01x,6.581241,0.309368,0.328598,0.001856,0.001751,1.103912
BZ2,1,1,1191.56x,0.615105,0.000457,0.023246,0.000077,0.000019,0.038239
BZ2,1,2,1191.56x,0.615875,0.000444,0.000289,0.000075,0.000020,0.015551
BZ2,1,3,1191.56x,0.615879,0.000356,0.000330,0.000073,0.000017,0.015732
BZ2,1,4,1191.56x,0.618500,0.000381,0.000286,0.000079,0.000019,0.015752
BZ2,1,5,1191.56x,0.611040,0.000373,0.000360,0.000074,0.000019,0.015780
BZ2,1,6,1191.56x,0.616094,0.000376,0.000359,0.000077,0.000019,0.017412
BZ2,1,7,1191.56x,0.619738,0.000331,0.000264,0.000072,0.000019,0.015729
BZ2,1,8,1191.56x,0.611040,0.000368,0.000360,0.000076,0.000020,0.015784
BZ2,1,9,1191.56x,0.616804,0.000383,0.000348,0.000075,0.000020,0.015610
BZ2,1,10,1191.56x,0.619775,0.000366,0.000296,0.000072,0.000018,0.015780
BZ2,1,11,1191.56x,0.612769,0.000360,0.000366,0.000073,0.000018,0.015922
BZ2,1,12,1191.56x,0.616207,0.000381,0.000365,0.000077,0.000018,0.015556
BZ2,1,13,1191.56x,0.620327,0.000349,0.000287,0.000070,0.000018,0.015723
BZ2,1,14,1191.56x,0.611767,0.000371,0.000365,0.000074,0.000019,0.015757
