size_mb,k_datos,m_paridad,object_id,tiempo_encoding_s,tiempo_decoding_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_frag_s,tiempo_io_read_frag_s
50,4,2,10,0.060603,0.017307,0.029389,0.020678,0.046580,0.023985
50,4,2,11,0.065341,0.020066,0.028128,0.022041,0.045389,0.017051
50,4,2,12,0.060954,0.019088,0.029474,0.012912,0.046909,0.014929
50,4,2,13,0.062841,0.020092,0.047312,0.021160,0.044195,0.014381
50,4,2,14,0.060695,0.018892,0.029397,0.023066,0.045454,0.015319
50,4,2,15,0.065492,0.019843,0.028573,0.022299,0.045111,0.015041
50,4,2,16,0.061949,0.020137,0.029782,0.022612,0.047459,0.015411
50,4,2,17,0.065165,0.006980,0.029135,0.022511,0.046515,0.014735
50,4,2,18,0.071539,0.017345,0.045503,0.023462,0.046181,0.015048
50,4,2,19,0.060677,0.019508,0.029284,0.023145,0.047912,0.020024
50,4,2,20,0.066649,0.020107,0.029381,0.013502,0.046549,0.015700
50,4,2,21,0.060473,0.006713,0.029534,0.020797,0.046435,0.015983
50,4,2,22,0.071890,0.018398,0.029026,0.022618,0.045946,0.014411
50,4,2,23,0.060690,0.019873,0.047914,0.023046,0.048000,0.020031
50,4,2,24,0.066560,0.019373,0.029723,0.014046,0.047411,0.015338
50,4,2,25,0.060772,0.006728,0.029610,0.020492,0.047245,0.015258
50,4,2,26,0.065441,0.004760,0.029377,0.023135,0.045739,0.015285
50,4,2,27,0.071484,0.017762,0.029228,0.023020,0.047039,0.015180
50,4,2,28,0.061508,0.019593,0.028126,0.013088,0.049591,0.020764
50,4,2,29,0.061180,0.019718,0.029605,0.011188,0.044875,0.019893
50,4,2,30,0.060578,0.007145,0.046072,0.020999,0.044580,0.014152
50,4,2,31,0.065521,0.017528,0.028933,0.022798,0.046164,0.014836
50,8,4,1,0.116350,0.019701,0.028544,0.022265,0.045134,0.015166
50,8,4,2,0.117190,0.019401,0.028599,0.014229,0.045980,0.014902
50,8,4,3,0.114502,0.006576,0.028275,0.019612,0.045955,0.015415
50,8,4,4,0.116487,0.017753,0.028080,0.022173,0.046533,0.015159
50,8,4,5,0.114054,0.019097,0.029520,0.022012,0.047896,0.015580
50,8,4,6,0.123755,0.019989,0.045964,0.012670,0.047955,0.015041
50,8,4,7,0.114184,0.019483,0.028926,0.020255,0.049644,0.016215
50,8,4,8,0.117512,0.019839,0.028648,0.022061,0.048156,0.015715
50,8,4,9,0.114161,0.019190,0.029318,0.022983,0.046874,0.015725
50,8,4,10,0.117571,0.007496,0.029132,0.022565,0.047356,0.015683
50,8,4,11,0.125519,0.017380,0.029329,0.022867,0.047487,0.015267
50,8,4,12,0.114348,0.019385,0.029118,0.022744,0.049882,0.021086
50,8,4,13,0.119736,0.020322,0.029123,0.013343,0.046270,0.014966
50,8,4,14,0.114195,0.006781,0.029539,0.020563,0.048994,0.015753
50,8,4,15,0.118881,0.004787,0.029180,0.022406,0.046139,0.015071
50,8,4,16,0.125071,0.018013,0.029548,0.023218,0.046026,0.015347
50,8,4,17,0.116878,0.019795,0.031336,0.012731,0.050138,0.026041
50,8,4,18,0.113931,0.019454,0.047597,0.010783,0.047666,0.016411
50,8,4,19,0.114192,0.019565,0.029535,0.020736,0.047874,0.015106
50,8,4,20,0.124991,0.020058,0.028165,0.022587,0.047751,0.015544
50,8,4,21,0.114240,0.019078,0.028518,0.022499,0.049892,0.021035
50,8,4,22,0.118831,0.020068,0.029048,0.022878,0.045827,0.015447
50,8,4,23,0.114230,0.019582,0.029592,0.023176,0.048838,0.015721
50,8,4,24,0.118913,0.019944,0.028746,0.022279,0.046421,0.015487
50,8,4,25,0.114108,0.019846,0.045637,0.023218,0.049089,0.016108
50,8,4,26,0.120027,0.019739,0.029096,0.022779,0.047914,0.015456
50,8,4,27,0.114302,0.019046,0.029689,0.023449,0.048613,0.015602
50,8,4,28,0.118846,0.019568,0.029099,0.022982,0.047418,0.015391
50,8,4,29,0.113921,0.019302,0.029645,0.023297,0.049608,0.019197
50,8,4,30,0.118965,0.006933,0.045345,0.022941,0.047546,0.015584
50,8,4,31,0.125050,0.017645,0.029614,0.023390,0.046619,0.015578
50,10,4,1,0.115466,0.019476,0.029024,0.022476,0.043751,0.014687
50,10,4,2,0.114937,0.020023,0.028416,0.012430,0.043957,0.013930
50,10,4,3,0.115022,0.019420,0.029434,0.020923,0.044024,0.016059
50,10,4,4,0.114852,0.020016,0.028964,0.022409,0.043287,0.015786
50,10,4,5,0.114740,0.019897,0.029194,0.023154,0.044706,0.015015
50,10,4,6,0.113714,0.020111,0.046121,0.023075,0.045578,0.015846
50,10,4,7,0.117457,0.020181,0.029332,0.023476,0.043724,0.014996
50,10,4,8,0.113697,0.019286,0.029317,0.023064,0.044821,0.015222
50,10,4,9,0.114058,0.019311,0.029394,0.023225,0.044203,0.015042
50,10,4,10,0.113722,0.019393,0.029538,0.023333,0.044035,0.014646
50,10,4,11,0.118373,0.019916,0.029553,0.023276,0.044061,0.014847
50,10,4,12,0.113483,0.019223,0.029347,0.023239,0.046426,0.018389
50,10,4,13,0.117468,0.007260,0.029571,0.023540,0.043881,0.014598
50,10,4,14,0.125107,0.017474,0.057090,0.024081,0.043612,0.014368
50,10,4,15,0.113819,0.019376,0.029040,0.023078,0.047199,0.020233
50,10,4,16,0.119321,0.007403,0.028874,0.013456,0.043595,0.014075
50,10,4,17,0.114388,0.017943,0.029740,0.020964,0.044387,0.015108
50,10,4,18,0.113799,0.019418,0.030679,0.022733,0.043689,0.014718
50,10,4,19,0.113694,0.020148,0.045130,0.012764,0.043991,0.014836
50,10,4,20,0.113781,0.006736,0.029745,0.020854,0.044387,0.014508
50,10,4,21,0.113675,0.017600,0.029871,0.023005,0.044726,0.014592
50,10,4,22,0.113485,0.019830,0.031719,0.023700,0.044288,0.014863
50,10,4,23,0.113882,0.020401,0.029637,0.014575,0.045128,0.015513
50,10,4,24,0.113613,0.006696,0.029198,0.020586,0.044626,0.014514
50,10,4,25,0.118778,0.017983,0.029384,0.023207,0.044615,0.014813
50,10,4,26,0.113423,0.019819,0.031260,0.023195,0.045297,0.015918
50,10,4,27,0.118353,0.020022,0.029750,0.015173,0.045752,0.014447
50,10,4,28,0.113697,0.006651,0.029701,0.020684,0.044135,0.015437
50,10,4,29,0.124996,0.018703,0.029670,0.023251,0.044260,0.014240
50,10,4,30,0.113421,0.019898,0.031198,0.023038,0.046974,0.020668
50,10,4,31,0.118311,0.019891,0.029774,0.015093,0.046230,0.014976
100,4,2,1,0.143672,0.035899,0.092106,0.039811,0.998999,0.032014
100,4,2,2,0.152567,0.037820,0.843957,0.045696,1.370403,0.059842
100,4,2,3,0.135563,0.038310,0.925575,0.044952,0.923996,0.042917
100,4,2,4,0.131399,0.038029,0.978227,0.042416,0.966413,0.027944
100,4,2,5,0.120732,0.037781,0.834580,0.043790,0.838922,0.027477
100,4,2,6,0.142871,0.047860,0.812030,0.042464,1.591549,0.034487
100,4,2,7,0.120592,0.038306,0.907380,0.045050,0.884397,0.037330
100,4,2,8,0.130297,0.038408,0.872167,0.042348,0.874240,0.027834
100,4,2,9,0.122974,0.038320,0.522809,0.044205,1.268840,0.028469
100,4,2,10,0.130339,0.037765,0.806507,0.071634,0.905161,0.026513
100,4,2,11,0.123452,0.038456,0.561089,0.043101,0.620433,0.029897
100,4,2,12,0.130381,0.038682,0.084431,0.044220,0.088510,0.027461
100,4,2,13,0.121046,0.038313,0.100923,0.044931,0.092360,0.034992
100,4,2,14,0.130420,0.037996,0.084630,0.044665,0.088661,0.028993
100,4,2,15,0.121202,0.037738,0.090309,0.044861,0.093233,0.030945
100,4,2,16,0.130345,0.038560,0.083138,0.043290,0.088919,0.028952
100,4,2,17,0.120689,0.038054,0.095666,0.044767,0.090447,0.029732
100,4,2,18,0.143374,0.013412,0.085357,0.044471,0.088266,0.028311
100,4,2,19,0.142892,0.034400,0.102980,0.043854,0.089491,0.028864
100,4,2,20,0.120774,0.038144,0.082499,0.043352,0.105440,0.039461
100,4,2,21,0.130949,0.037606,0.085662,0.024355,0.089062,0.028907
100,4,2,22,0.121233,0.012650,0.092501,0.040763,0.091364,0.028918
100,4,2,23,0.130819,0.009182,0.093356,0.043230,0.089690,0.028985
100,4,2,24,0.142855,0.034533,0.084647,0.043505,0.089346,0.028887
100,4,2,25,0.121018,0.038644,0.086082,0.022832,0.096380,0.038950
100,4,2,26,0.121079,0.038399,0.085522,0.019983,0.086797,0.031416
100,4,2,27,0.123322,0.038275,0.093730,0.039507,0.093483,0.028801
100,4,2,28,0.130279,0.013366,0.084502,0.044375,0.089469,0.027905
100,4,2,29,0.137476,0.034196,0.085564,0.044029,0.089823,0.028356
100,4,2,30,0.121301,0.037854,0.084205,0.043737,0.092423,0.035856
100,4,2,31,0.130234,0.038198,0.088377,0.024007,0.090014,0.028343
100,8,4,1,0.228194,0.037143,0.090855,0.040233,0.090041,0.029162
100,8,4,2,0.244447,0.039254,0.089800,0.043644,0.090604,0.029073
100,8,4,3,0.228623,0.038678,0.090300,0.043955,0.097157,0.033862
100,8,4,4,0.238023,0.037654,0.085633,0.043595,0.090018,0.028473
100,8,4,5,0.231492,0.038719,0.597709,0.043202,1.267933,0.030945
100,8,4,6,0.237592,0.038865,0.885966,0.043670,0.931374,0.028955
100,8,4,7,0.228463,0.037483,0.872696,0.044369,0.888839,0.030229
100,8,4,8,0.238818,0.038935,0.585077,0.043262,1.173729,0.029359
100,8,4,9,0.228562,0.038568,0.955859,0.044778,1.012267,0.030175
100,8,4,10,0.236244,0.038342,0.535070,0.064734,1.425891,0.029176
100,8,4,11,0.228621,0.039125,0.802546,0.044823,0.958475,0.034708
100,8,4,12,0.238173,0.038497,0.703834,0.066475,0.887766,0.028981
100,8,4,13,0.228498,0.037918,0.816892,0.044507,0.794812,0.030003
100,8,4,14,0.238491,0.039085,0.441218,0.043710,0.754420,0.028718
100,8,4,15,0.228262,0.038725,0.726643,0.044367,0.730388,0.036350
100,8,4,16,0.238320,0.038186,0.498612,0.045044,0.506268,0.028172
100,8,4,17,0.228360,0.038996,0.083852,0.045953,0.095301,0.031527
100,8,4,18,0.237633,0.038788,0.088818,0.043355,0.090081,0.030510
100,8,4,19,0.228459,0.037971,0.089913,0.046080,0.094585,0.029827
100,8,4,20,0.237347,0.038304,0.085032,0.045317,0.089741,0.030919
100,8,4,21,0.228068,0.038353,0.084759,0.045825,0.094849,0.035347
100,8,4,22,0.237203,0.038018,0.084887,0.043637,0.090890,0.029262
100,8,4,23,0.227824,0.037955,0.109799,0.044640,0.092869,0.030459
100,8,4,24,0.237399,0.038007,0.084793,0.044688,0.090610,0.029668
100,8,4,25,0.227841,0.037904,0.087788,0.045436,0.093882,0.031127
100,8,4,26,0.237153,0.037880,0.083696,0.043930,0.090973,0.029599
100,8,4,27,0.227801,0.038441,0.092409,0.045168,0.094409,0.036516
100,8,4,28,0.237487,0.037774,0.092639,0.044315,0.090808,0.029238
100,8,4,29,0.227738,0.037941,0.094786,0.045070,0.093564,0.046902
100,8,4,30,0.237355,0.038038,0.088810,0.043741,0.090180,0.029396
100,8,4,31,0.228255,0.037603,0.086844,0.045962,0.093648,0.029568
100,10,4,1,0.239391,0.038089,0.086017,0.044799,0.084879,0.027956
100,10,4,2,0.227343,0.038119,0.092956,0.044826,0.089579,0.032008
100,10,4,3,0.234562,0.038233,0.083916,0.044299,0.084637,0.028375
100,10,4,4,0.227322,0.038471,0.085930,0.044903,0.089706,0.028307
100,10,4,5,0.233229,0.038448,0.083744,0.044235,0.083581,0.027293
100,10,4,6,0.227178,0.037809,0.093781,0.045030,0.089264,0.031131
100,10,4,7,0.234435,0.038111,0.093657,0.042145,0.083550,0.027388
100,10,4,8,0.227061,0.039259,0.092705,0.044294,0.083351,0.027330
100,10,4,9,0.237293,0.039474,0.090944,0.044514,0.085551,0.027557
100,10,4,10,0.226929,0.038257,0.090925,0.044610,0.089343,0.035604
100,10,4,11,0.234766,0.038808,0.089516,0.044345,0.085955,0.028053
100,10,4,12,0.227870,0.037844,0.096144,0.043676,0.084837,0.028106
100,10,4,13,0.227695,0.038257,0.515494,0.043240,1.079797,0.027247
100,10,4,14,0.226858,0.038463,0.908814,0.043015,1.249700,0.027237
100,10,4,15,0.236895,0.039305,0.905212,0.043224,0.933173,0.026863
100,10,4,16,0.227042,0.038414,0.817023,0.044154,0.967771,0.039834
100,10,4,17,0.234838,0.038689,0.870317,0.044211,0.957783,0.027249
100,10,4,18,0.227754,0.038162,0.976964,0.044904,0.929904,0.027572
100,10,4,19,0.237169,0.039284,0.740047,0.044607,0.896774,0.027486
100,10,4,20,0.227008,0.038232,0.909825,0.045133,0.921763,0.035103
100,10,4,21,0.236059,0.038399,0.516597,0.044203,0.869819,0.027498
100,10,4,22,0.226954,0.038782,0.827469,0.044014,0.974449,0.036691
100,10,4,23,0.234685,0.039215,0.916311,0.044098,0.856836,0.027395
100,10,4,24,0.227226,0.038209,0.091442,0.045456,0.085310,0.027788
100,10,4,25,0.237182,0.039201,0.095453,0.045387,0.085858,0.027875
100,10,4,26,0.226893,0.038147,0.086179,0.045590,0.087623,0.032245
100,10,4,27,0.234834,0.038253,0.092602,0.043676,0.085763,0.027901
100,10,4,28,0.227473,0.038524,0.085146,0.045196,0.086464,0.027731
100,10,4,29,0.237025,0.039086,0.086223,0.044811,0.083537,0.029312
100,10,4,30,0.227611,0.037896,0.084720,0.045622,0.088920,0.031556
100,10,4,31,0.234943,0.038771,0.084304,0.044453,0.085863,0.028134
1000,4,2,1,1.556431,0.371115,1.035347,0.374135,1.587845,0.570894
1000,4,2,2,1.605609,0.406335,0.949330,0.408304,1.566169,0.575074
1000,4,2,3,1.601002,0.386917,7.063011,0.422645,12.590554,0.613029
1000,4,2,4,1.601799,0.384253,4.727614,0.418655,1.550808,0.589721
1000,4,2,5,1.596997,0.382897,0.961421,0.408995,1.521569,0.582511
1000,4,2,6,1.600106,0.384424,0.956720,0.416036,2.377142,0.591887
1000,4,2,7,1.595834,0.393877,8.692826,0.422062,12.946703,0.598635
1000,4,2,8,1.598497,0.402580,0.954484,0.418269,1.563616,0.622977
1000,4,2,9,1.599277,0.411575,0.931880,0.408215,1.564742,0.595893
1000,4,2,10,1.597982,0.390228,0.931289,0.410434,1.529419,0.568227
1000,4,2,11,1.598550,0.410365,6.885556,0.422619,12.961158,0.596909
1000,4,2,12,1.598473,0.403617,1.470585,0.413497,7.659883,0.592265
1000,4,2,13,1.600501,0.397051,8.473258,0.400706,6.706491,0.565683
1000,4,2,14,1.598133,0.407602,0.962926,0.413881,1.583842,0.569725
1000,4,2,15,1.597191,0.380489,5.063655,0.423232,13.425888,0.592882
1000,4,2,16,1.598611,0.395734,7.735093,0.429743,1.707437,0.598884
