size_mb,k_datos,m_paridad,object_id,tiempo_encoding_s,tiempo_decoding_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_frag_s,tiempo_io_read_frag_s
100,4,2,18,0.143037,0.026292,0.034837,0.037001,0.051788,0.050733
100,4,2,19,0.144438,0.028506,0.036263,0.034977,0.053691,0.048738
100,4,2,20,0.138861,0.037209,0.033683,0.037862,0.054928,0.050689
100,4,2,21,0.141919,0.033115,0.039029,0.035667,0.050298,0.051712
100,4,2,22,0.137242,0.026306,0.030140,0.033692,0.052276,0.049289
100,4,2,23,0.138514,0.024873,0.033890,0.034867,0.051880,0.049608
100,4,2,24,0.143112,0.028988,0.037815,0.038063,0.053044,0.052011
100,4,2,25,0.138823,0.037025,0.034846,0.034248,0.052515,0.052963
100,4,2,26,0.138141,0.037859,0.036841,0.034326,0.051806,0.051790
100,4,2,27,0.141091,0.034757,0.029734,0.032775,0.053437,0.053098
100,4,2,28,0.143069,0.026800,0.033412,0.037484,0.053774,0.049659
100,4,2,29,0.138276,0.028615,0.034131,0.035890,0.050995,0.050552
100,4,2,30,0.139473,0.035334,0.033224,0.035854,0.054927,0.053991
100,4,2,31,0.140497,0.033690,0.039401,0.035622,0.049622,0.049334
100,8,4,1,0.245301,0.031975,0.035570,0.038766,0.057997,0.052644
100,8,4,2,0.248656,0.029992,0.029177,0.035898,0.052800,0.050560
100,8,4,3,0.246358,0.031093,0.033902,0.036160,0.057997,0.052227
100,8,4,4,0.243615,0.032296,0.034185,0.041341,0.050945,0.047712
100,8,4,5,0.243848,0.032093,0.032268,0.035533,0.059757,0.049486
100,8,4,6,0.244595,0.032416,0.031518,0.038722,0.051259,0.050258
100,8,4,7,0.246951,0.035489,0.035191,0.034808,0.056033,0.051091
100,8,4,8,0.244314,0.034759,0.033328,0.040027,0.050456,0.049311
100,8,4,9,0.244539,0.032243,0.034027,0.034856,0.059979,0.049539
100,8,4,10,0.243736,0.039978,0.032269,0.040726,0.051473,0.051794
100,8,4,11,0.246423,0.033577,0.038510,0.036248,0.054308,0.053916
100,8,4,12,0.243747,0.036265,0.033390,0.039011,0.055846,0.052645
100,8,4,13,0.244171,0.032246,0.035103,0.036468,0.055414,0.049853
100,8,4,14,0.245014,0.034520,0.034395,0.045193,0.052213,0.051294
100,8,4,15,0.249823,0.032906,0.032451,0.037749,0.059475,0.051852
100,8,4,16,0.243014,0.032551,0.033054,0.036577,0.053940,0.049736
100,8,4,17,0.244210,0.033209,0.034866,0.036857,0.056556,0.053511
100,8,4,18,0.246585,0.036812,0.033811,0.041737,0.052844,0.049948
100,8,4,19,0.246185,0.034940,0.032247,0.037186,0.059511,0.049104
100,8,4,20,0.244606,0.034149,0.035060,0.039229,0.051255,0.049960
100,8,4,21,0.246162,0.033023,0.038314,0.036300,0.059199,0.052718
100,8,4,22,0.243569,0.034686,0.032037,0.040631,0.054396,0.049879
100,8,4,23,0.245004,0.031086,0.035027,0.037296,0.060376,0.053909
100,8,4,24,0.245190,0.034665,0.034230,0.039680,0.054637,0.048363
100,8,4,25,0.244268,0.037343,0.035418,0.038688,0.060177,0.051961
100,8,4,26,0.244461,0.034768,0.035030,0.041906,0.055104,0.049542
100,8,4,27,0.247583,0.035127,0.036820,0.037869,0.059591,0.052802
100,8,4,28,0.243052,0.037596,0.034865,0.040334,0.053951,0.050608
100,8,4,29,0.244346,0.035347,0.036176,0.038995,0.058456,0.057656
