algorithm,size_mb,key_bits,object_id,tiempo_encryption_s,tiempo_decryption_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_enc_s,tiempo_io_read_enc_s
AES,50,128,6,0.299491,0.324264,0.017882,0.018451,0.017085,0.017630
AES,50,128,7,0.296435,0.326411,0.016464,0.017351,0.016868,0.019228
AES,50,128,8,0.304385,0.317907,0.017783,0.017410,0.016978,0.017965
AES,50,128,9,0.300078,0.318550,0.017610,0.018181,0.016639,0.017258
AES,50,128,10,0.303817,0.322842,0.017265,0.018062,0.015284,0.016912
AES,50,128,11,0.302068,0.321150,0.016959,0.017842,0.017276,0.017742
AES,50,128,12,0.302971,0.316987,0.017681,0.018848,0.016946,0.017540
AES,50,128,13,0.301656,0.319559,0.015445,0.017918,0.015736,0.016843
AES,50,128,14,0.296917,0.326544,0.016363,0.017932,0.016929,0.017456
AES,50,128,15,0.300115,0.321412,0.015481,0.017092,0.017102,0.017603
AES,50,128,16,0.296149,0.326975,0.016041,0.017086,0.016645,0.017530
AES,50,128,17,0.305713,0.321209,0.015430,0.017675,0.016541,0.017109
AES,50,128,18,0.304154,0.317038,0.016573,0.017469,0.015411,0.017314
AES,50,128,19,0.301843,0.314273,0.015085,0.017118,0.017248,0.017685
AES,50,128,20,0.306773,0.319178,0.015219,0.016666,0.015739,0.017493
AES,50,128,21,0.300508,0.318516,0.015464,0.017714,0.016441,0.016910
AES,50,128,22,0.297164,0.318798,0.016529,0.017647,0.017229,0.017545
AES,50,128,23,0.298160,0.317592,0.016809,0.017655,0.016192,0.017471
AES,50,128,24,0.296098,0.315394,0.015993,0.017078,0.016972,0.018466
AES,50,128,25,0.296428,0.318940,0.015604,0.017609,0.016572,0.017146
AES,50,128,26,0.297243,0.322020,0.016361,0.017362,0.016742,0.017524
AES,50,128,27,0.300601,0.320280,0.015597,0.017158,0.017426,0.019188
AES,50,128,28,0.298602,0.328076,0.017275,0.017078,0.017077,0.017844
AES,50,128,29,0.296669,0.316954,0.015319,0.017727,0.015872,0.016529
AES,50,128,30,0.298492,0.323290,0.016503,0.017783,0.017069,0.017904
AES,50,128,31,0.295355,0.325255,0.015269,0.017064,0.015590,0.017174
AES,50,256,1,0.383087,0.398759,0.015327,0.017197,0.016922,0.018006
AES,50,256,2,0.392588,0.401612,0.016085,0.017678,0.016545,0.017123
AES,50,256,3,0.377797,0.401283,0.017732,0.018157,0.017147,0.017752
AES,50,256,4,0.382101,0.405512,0.015720,0.017053,0.017404,0.017677
AES,50,256,5,0.383490,0.400552,0.017173,0.017105,0.017198,0.018054
AES,50,256,6,0.381937,0.402804,0.015614,0.017829,0.016499,0.016781
AES,50,256,7,0.381375,0.402909,0.015807,0.018136,0.016698,0.017744
AES,50,256,8,0.376978,0.405669,0.015694,0.017037,0.017351,0.017585
AES,50,256,9,0.379063,0.399950,0.015652,0.016984,0.017268,0.018083
AES,50,256,10,0.379219,0.403569,0.015218,0.017689,0.018200,0.017149
AES,50,256,11,0.377585,0.405694,0.016207,0.018160,0.017156,0.017843
AES,50,256,12,0.378798,0.402332,0.015768,0.017423,0.015538,0.017329
AES,50,256,13,0.377095,0.400478,0.015959,0.016886,0.017423,0.018093
AES,50,256,14,0.386797,0.404200,0.015485,0.017993,0.016446,0.016737
AES,50,256,15,0.381197,0.402051,0.016399,0.017565,0.016992,0.017915
AES,50,256,16,0.381682,0.407584,0.015623,0.017030,0.017339,0.017710
AES,50,256,17,0.381009,0.405489,0.015935,0.016986,0.016545,0.018226
AES,50,256,18,0.376096,0.399435,0.015323,0.017819,0.016627,0.017310
AES,50,256,19,0.376694,0.402401,0.016518,0.017595,0.015765,0.017356
AES,50,256,20,0.384097,0.401264,0.015689,0.017485,0.017329,0.017865
AES,50,256,21,0.384181,0.404727,0.016358,0.016999,0.016984,0.017737
AES,50,256,22,0.376080,0.404346,0.015555,0.017946,0.016629,0.016891
AES,50,256,23,0.379677,0.402945,0.016387,0.017993,0.017257,0.017831
AES,50,256,24,0.376082,0.398665,0.016360,0.017368,0.016889,0.017565
AES,50,256,25,0.378664,0.400875,0.016139,0.017396,0.016887,0.017871
AES,50,256,26,0.378016,0.397016,0.015442,0.017865,0.016626,0.017217
AES,50,256,27,0.377668,0.399258,0.016384,0.017364,0.017179,0.018067
AES,50,256,28,0.375761,0.399209,0.015666,0.017067,0.017305,0.017663
AES,50,256,29,0.377169,0.398806,0.016098,0.017041,0.017062,0.018254
