algorithm,size_mb,key_bits,object_id,tiempo_encryption_s,tiempo_decryption_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_enc_s,tiempo_io_read_enc_s
AES,100,256,17,0.249252,0.288577,0.092064,0.040465,0.087586,0.039619
AES,100,256,18,0.247278,0.287097,0.082511,0.040119,0.097929,0.038967
AES,100,256,19,0.250290,0.288703,0.084870,0.040358,0.094054,0.039558
AES,100,256,20,0.247568,0.286448,0.090618,0.040099,0.090331,0.039643
AES,100,256,21,0.248780,0.288781,0.082440,0.040378,0.096476,0.039263
AES,100,256,22,0.248306,0.287536,0.082091,0.040351,0.105684,0.039295
AES,100,256,23,0.249851,0.289834,0.085523,0.040636,0.083635,0.040119
AES,100,256,24,0.247153,0.287551,0.084792,0.040237,0.095823,0.039508
AES,100,256,25,0.249628,0.290161,0.082875,0.040590,0.621118,0.038954
AES,100,256,26,0.247975,0.287115,1.915836,0.065518,1.760049,0.039806
AES,100,256,27,0.249317,0.289527,1.631370,0.062204,1.699791,0.039642
AES,100,256,28,0.248393,0.288015,1.537803,0.039455,0.853577,0.038945
AES,100,256,29,0.249869,0.289679,1.356227,0.039705,0.787687,0.039043
AES,100,256,30,0.248161,0.287457,0.103092,0.040497,0.090169,0.039655
AES,100,256,31,0.249402,0.288955,0.084365,0.040399,0.087892,0.039641
AES,1000,128,1,2.264578,2.738602,1.022901,0.382745,0.953860,0.391463
AES,1000,128,2,2.224169,2.628152,0.933265,0.402967,0.967558,0.430987
AES,1000,128,3,2.207771,2.629386,0.952500,0.406159,0.932554,0.413237
AES,1000,128,4,2.210869,2.624168,0.954784,0.410196,0.953534,0.408641
AES,1000,128,5,2.211701,2.626769,0.952773,0.419693,0.943733,0.406409
AES,1000,128,6,2.214090,2.622115,0.960733,0.407874,0.949828,0.409263
AES,1000,128,7,2.208457,2.616249,0.944347,0.415826,0.922545,0.403643
AES,1000,128,8,2.209869,2.631970,0.950990,0.408974,1.689292,0.421523
AES,1000,128,9,2.210698,2.614003,8.480618,0.431410,8.249681,0.422582
AES,1000,128,10,2.212673,2.624220,0.925205,0.411076,0.958678,0.408432
AES,1000,128,11,2.212276,2.629409,0.953790,0.415503,0.937442,0.406845
AES,1000,128,12,2.213812,2.629652,0.946815,0.410779,0.965685,0.407033
AES,1000,128,13,2.212756,2.626810,0.944465,0.425625,4.524378,0.447103
AES,1000,128,14,2.211933,2.632948,8.424239,0.425278,5.936411,0.417821
AES,1000,128,15,2.207747,2.622965,3.528506,0.444914,3.489346,0.445661
AES,1000,128,16,2.213039,2.637353,5.485809,0.424113,10.623726,0.420249
AES,1000,128,17,2.209676,2.622819,8.804689,0.417842,8.111010,0.421468
AES,1000,128,18,2.213416,2.635636,1.799779,0.409425,0.969930,0.430801
AES,1000,128,19,2.211528,2.620827,0.966033,0.427166,0.920483,0.432024
AES,1000,128,20,2.215546,2.639045,0.957196,0.411596,0.962106,0.411522
AES,1000,128,21,2.215628,2.623320,0.962150,0.435747,0.943170,0.409449
AES,1000,128,22,2.211823,2.636412,0.947721,0.410871,0.921257,0.408980
AES,1000,128,23,2.208869,2.630878,0.952629,0.425754,0.900874,0.425139
AES,1000,128,24,2.212612,2.646440,0.952402,0.414225,6.261070,0.422146
AES,1000,128,25,2.206826,2.629044,8.849909,0.440874,2.760720,0.437017
AES,1000,128,26,2.217430,2.640845,0.953588,0.416563,0.963878,0.431891
AES,1000,128,27,2.212645,2.622178,0.955751,0.418224,0.941417,0.433617
AES,1000,128,28,2.212080,2.642449,0.959042,0.411499,0.956976,0.410686
AES,1000,128,29,2.207615,2.620664,0.957758,0.429763,0.941988,0.406947
AES,1000,128,30,2.216376,2.634156,8.789838,0.430070,8.442834,0.422431
AES,1000,128,31,2.211195,2.627751,8.028727,0.441729,0.955245,0.403606
AES,1000,256,1,2.485952,2.894696,0.948882,0.412945,0.929468,0.411205
AES,1000,256,2,2.487781,2.891028,0.948708,0.430577,0.932177,0.413182
AES,1000,256,3,2.494763,2.885628,0.954418,0.409872,0.961743,0.404920
AES,1000,256,4,2.489174,2.893107,0.950423,0.427876,4.366985,0.423547
AES,1000,256,5,2.488734,2.899756,8.729345,0.425849,5.258953,0.401825
AES,1000,256,6,2.490702,2.899286,0.951335,0.429769,0.920154,0.411114
AES,1000,256,7,2.488425,2.899858,0.956584,0.414736,0.947208,0.426206
AES,1000,256,8,2.483862,2.892019,0.960974,0.430566,0.930767,0.412686
AES,1000,256,9,2.490902,2.897595,0.951828,0.410908,1.783794,0.423106
AES,1000,256,10,2.485691,2.880705,8.091876,0.440564,8.071214,0.445196
AES,1000,256,11,2.493165,2.901605,11.302301,0.405131,7.100980,0.439855
AES,1000,256,12,2.488735,2.881151,0.926101,0.420174,0.940295,0.425967
AES,1000,256,13,2.484075,2.894478,0.962166,0.410168,0.947644,0.429668
AES,1000,256,14,2.487196,2.896491,0.932583,0.424774,0.941472,0.404624
AES,1000,256,15,2.497375,2.898585,0.948057,0.416427,6.674667,0.446610
AES,1000,256,16,2.483365,2.890208,8.569733,0.440730,2.891724,0.404072
AES,1000,256,17,2.486696,2.892067,0.928827,0.415762,0.955705,0.409117
AES,1000,256,18,2.482822,2.884824,0.950403,0.431343,0.940997,0.412595
AES,1000,256,19,2.493666,2.898695,0.952094,0.420603,6.332018,0.446214
AES,1000,256,20,2.487980,2.889387,8.557831,0.416765,3.174750,0.397545
AES,1000,256,21,2.481857,2.894440,0.925550,0.415782,0.948409,0.429408
AES,1000,256,22,2.484000,2.889363,0.951903,0.430972,0.938924,0.409250
AES,1000,256,23,2.491141,2.899900,3.184958,0.429928,8.639557,0.443206
AES,1000,256,24,2.488845,2.882045,7.175662,0.434904,0.950620,0.428250
AES,1000,256,25,2.483195,2.896195,0.962122,0.417878,0.959873,0.410366
AES,1000,256,26,2.487953,2.894417,0.944539,0.428783,8.649446,0.422562
AES,1000,256,27,2.491638,2.905373,8.735563,0.404717,2.817495,0.429180
AES,1000,256,28,2.499002,2.885223,0.929773,0.423818,4.316321,0.396364
AES,1000,256,29,2.492707,2.898599,8.549290,0.429652,9.528437,0.421596
AES,1000,256,30,2.485820,2.883871,9.834525,0.415695,6.261338,0.432016
AES,1000,256,31,2.493499,2.894604,0.960293,0.414919,0.970861,0.427011
CHACHA20,1,256,1,0.002850,0.002502,0.000689,0.036782,0.000721,0.036635
CHACHA20,1,256,2,0.002337,0.002301,0.000534,0.000155,0.000693,0.000186
CHACHA20,1,256,3,0.002354,0.002264,0.000544,0.000155,0.000638,0.000170
CHACHA20,1,256,4,0.002378,0.002264,0.000505,0.000144,0.000685,0.000188
CHACHA20,1,256,5,0.002334,0.002296,0.000537,0.000164,0.000654,0.000157
CHACHA20,1,256,6,0.002352,0.002266,0.000508,0.000142,0.000676,0.000204
CHACHA20,1,256,7,0.002371,0.002270,0.000540,0.000153,0.000647,0.000156
CHACHA20,1,256,8,0.002352,0.002293,0.000501,0.000144,0.000675,0.000187
CHACHA20,1,256,9,0.002352,0.002262,0.000557,0.000161,0.000659,0.000177
CHACHA20,1,256,10,0.002368,0.002260,0.000510,0.000145,0.000678,0.000187
CHACHA20,1,256,11,0.002333,0.002293,0.000543,0.000158,0.000651,0.000170
CHACHA20,1,256,12,0.002358,0.002288,0.000514,0.000147,0.000683,0.000184
CHACHA20,1,256,13,0.002369,0.002261,0.000539,0.000162,0.000654,0.000157
CHACHA20,1,256,14,0.002333,0.002294,0.000506,0.000142,0.000678,0.000205
CHACHA20,1,256,15,0.002362,0.002265,0.000544,0.000158,0.000640,0.000151
CHACHA20,1,256,16,0.002366,0.002266,0.000508,0.000144,0.000690,0.000187
CHACHA20,1,256,17,0.002340,0.002283,0.000556,0.000162,0.000657,0.000174
CHACHA20,1,256,18,0.002350,0.002263,0.000511,0.000146,0.000680,0.000192
CHACHA20,1,256,19,0.002357,0.002272,0.000541,0.000160,0.000643,0.000170
CHACHA20,1,256,20,0.002370,0.002295,0.000504,0.000146,0.000679,0.000187
CHACHA20,1,256,21,0.002351,0.002256,0.000546,0.000159,0.000646,0.000162
CHACHA20,1,256,22,0.002375,0.002261,0.000510,0.000141,0.000677,0.000205
CHACHA20,1,256,23,0.002332,0.002294,0.000545,0.000165,0.000643,0.000154
CHACHA20,1,256,24,0.002358,0.002268,0.000504,0.000144,0.000673,0.000186
CHACHA20,1,256,25,0.002359,0.002263,0.000557,0.000161,0.000685,0.000178
CHACHA20,1,256,26,0.002329,0.002299,0.000499,0.000148,0.000684,0.000190
CHACHA20,1,256,27,0.002345,0.002269,0.000544,0.000159,0.000643,0.000186
CHACHA20,1,256,28,0.002379,0.002271,0.000506,0.000146,0.000674,0.000186
CHACHA20,1,256,29,0.002332,0.002298,0.000543,0.000163,0.000636,0.000161
CHACHA20,1,256,30,0.002351,0.002259,0.000520,0.000140,0.000677,0.000205
CHACHA20,1,256,31,0.002366,0.002264,0.000535,0.000160,0.000642,0.000153
CHACHA20,10,256,1,0.028430,0.026841,0.006272,0.005399,0.006022,0.004095
CHACHA20,10,256,2,0.023530,0.023387,0.005852,0.002032,0.006174,0.002046
