algoritmo,size_mb,object_id,time_seconds,tiempo_io_write_orig_s,tiempo_io_read_orig_s
SHA3_256,100,3,0.221157,0.102936,0.045038
SHA3_256,100,4,0.218144,0.093571,0.045673
SHA3_256,100,5,0.220021,0.084499,0.045906
SHA3_256,100,6,0.220617,0.095387,0.045793
SHA3_256,100,7,0.218015,0.086841,0.045594
SHA3_256,100,8,0.218094,0.078810,0.046800
SHA3_256,100,9,0.222490,0.507183,0.045064
SHA3_256,100,10,0.217915,0.981912,0.045425
SHA3_256,100,11,0.221430,0.895982,0.045014
SHA3_256,100,12,0.221762,0.575581,0.045442
SHA3_256,100,13,0.218324,0.853730,0.045044
SHA3_256,100,14,0.219221,0.889351,0.045466
SHA3_256,100,15,0.219623,0.841145,0.045581
SHA3_256,100,16,0.221703,0.539245,0.045521
SHA3_256,100,17,0.222622,0.553933,0.045114
SHA3_256,100,18,0.220332,0.895259,0.045064
SHA3_256,100,19,0.219820,0.887398,0.045618
SHA3_256,100,20,0.218856,0.944877,0.044613
SHA3_256,100,21,0.218480,0.933830,0.045215
SHA3_256,100,22,0.221674,0.547863,0.044943
SHA3_256,100,23,0.219180,0.780112,0.045594
SHA3_256,100,24,0.218014,0.795599,0.044954
SHA3_256,100,25,0.218881,0.830995,0.045466
SHA3_256,100,26,0.221649,0.532738,0.045000
SHA3_256,100,27,0.218270,0.878064,0.045212
SHA3_256,100,28,0.222954,0.461254,0.044900
SHA3_256,100,29,0.217052,0.693891,0.045519
SHA3_256,100,30,0.220771,0.487452,0.044901
SHA3_256,100,31,0.218535,0.822732,0.045604
SHA3_256,1000,1,2.184625,1.176204,0.381940
SHA3_256,1000,2,2.180320,1.491318,0.421485
SHA3_256,1000,3,2.182748,1.065423,0.408180
SHA3_256,1000,4,2.190450,1.040021,0.412694
SHA3_256,1000,5,2.193219,1.028378,0.408948
SHA3_256,1000,6,2.186255,1.055883,0.414349
SHA3_256,1000,7,2.190091,1.048736,0.405432
SHA3_256,1000,8,2.187662,1.031212,0.412317
SHA3_256,1000,9,2.213302,1.060129,0.412246
SHA3_256,1000,10,2.183721,3.817659,0.425831
SHA3_256,1000,11,2.188135,9.262535,0.423594
SHA3_256,1000,12,2.189108,7.700949,0.427569
SHA3_256,1000,13,2.188593,3.615923,0.419676
SHA3_256,1000,14,2.188504,3.424975,0.428614
SHA3_256,1000,15,2.188043,3.417611,0.419850
SHA3_256,1000,16,2.192502,3.444705,0.423768
SHA3_256,1000,17,2.194057,2.780977,0.415364
SHA3_256,1000,18,2.197098,1.061165,0.418021
SHA3_256,1000,19,2.202854,1.063496,0.411957
SHA3_256,1000,20,2.198097,1.040808,0.413282
SHA3_256,1000,21,2.202873,1.060423,0.410084
SHA3_256,1000,22,2.215008,1.066350,0.417869
SHA3_256,1000,23,2.206652,1.059902,0.411785
SHA3_256,1000,24,2.201824,1.058130,0.415077
