algoritmo,size_mb,object_id,ratio_compresion,tiempo_compresion_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_comp_s,tiempo_io_read_comp_s,tiempo_descompresion_s
LZMA,1000,10,6862.95x,15.822477,1.176722,0.680287,0.000309,0.000039,1.472771
LZ4,1,1,60.91x,0.006349,0.001101,0.100726,0.000156,0.000024,0.088518
LZ4,1,2,60.91x,0.000116,0.001043,0.000126,0.000076,0.000026,0.000150
LZ4,1,3,60.91x,0.000118,0.001018,0.000116,0.000078,0.000025,0.000174
LZ4,1,4,60.91x,0.000118,0.001019,0.000175,0.000081,0.000024,0.000142
LZ4,1,5,60.91x,0.000104,0.001062,0.000148,0.000080,0.000026,0.000162
LZ4,1,6,60.91x,0.000113,0.001026,0.000120,0.000081,0.000025,0.000153
LZ4,1,7,60.91x,0.000106,0.001045,0.000167,0.000078,0.000024,0.000164
LZ4,1,8,60.91x,0.000118,0.001052,0.000172,0.000085,0.000026,0.000166
LZ4,1,9,60.91x,0.000108,0.001054,0.000183,0.000090,0.000025,0.000150
LZ4,1,10,60.91x,0.000117,0.001032,0.000164,0.000105,0.000026,0.000150
LZ4,10,1,61.39x,0.001306,0.012429,0.001478,0.000295,0.000052,0.009999
LZ4,10,2,61.39x,0.001116,0.011012,0.001760,0.000293,0.000055,0.001804
LZ4,10,3,61.39x,0.001159,0.011049,0.004270,0.000295,0.000072,0.010018
LZ4,10,4,61.39x,0.001088,0.009874,0.001826,0.000313,0.000030,0.001821
LZ4,10,5,61.39x,0.001120,0.010207,0.001824,0.000293,0.000052,0.001823
LZ4,10,6,61.39x,0.001127,0.010062,0.001800,0.000295,0.000054,0.001991
LZ4,10,7,61.39x,0.001103,0.010155,0.001802,0.000301,0.000031,0.001819
LZ4,10,8,61.39x,0.001084,0.010015,0.001718,0.000292,0.000054,0.001857
LZ4,10,9,61.39x,0.001103,0.010249,0.001710,0.000294,0.000032,0.001827
LZ4,10,10,61.39x,0.001108,0.010280,0.001728,0.000309,0.000055,0.001814
LZ4,50,1,61.50x,0.007273,0.056182,0.028421,0.000916,0.000135,0.061858
LZ4,50,2,61.50x,0.006472,0.050327,0.032149,0.000912,0.000131,0.059663
LZ4,50,3,61.50x,0.006342,0.053046,0.031820,0.000941,0.000161,0.058224
LZ4,50,4,61.50x,0.006472,0.055867,0.032807,0.000894,0.000124,0.057250
LZ4,50,5,61.50x,0.006554,0.055700,0.034067,0.000906,0.000147,0.058120
LZ4,50,6,61.50x,0.006717,0.055946,0.033833,0.000933,0.000137,0.062037
LZ4,50,7,61.50x,0.006547,0.050081,0.034064,0.001028,0.000143,0.062323
LZ4,50,8,61.50x,0.006522,0.070142,0.033453,0.000911,0.000141,0.061154
LZ4,50,9,61.50x,0.006479,0.052119,0.032826,0.000903,0.000133,0.058984
LZ4,50,10,61.50x,0.006518,0.072315,0.035114,0.000940,0.000129,0.062003
LZ4,100,1,61.73x,0.013043,0.116725,0.065708,0.001866,0.000301,0.120432
LZ4,100,2,61.73x,0.012814,0.115730,0.070281,0.001833,0.000255,0.124337
LZ4,100,3,61.73x,0.013692,0.120872,0.069291,0.001815,0.000343,0.128960
LZ4,100,4,61.73x,0.013489,0.117651,0.069853,0.001954,0.000315,0.124640
LZ4,100,5,61.73x,0.013038,0.116095,0.068544,0.001814,0.000254,0.125204
LZ4,100,6,61.73x,0.013122,0.118227,0.067639,0.001827,0.000271,0.124999
LZ4,100,7,61.73x,0.013495,0.116727,0.069186,0.001820,0.000308,0.125531
LZ4,100,8,61.73x,0.012907,0.118376,0.069804,0.001894,0.000275,0.124735
LZ4,100,9,61.73x,0.013200,0.116791,0.069564,0.001810,0.000335,0.124859
LZ4,100,10,61.73x,0.013069,0.114700,0.070591,0.001833,0.000315,0.123985
LZ4,1000,1,61.66x,0.129197,1.126561,0.599805,0.017124,0.008020,1.125418
LZ4,1000,2,61.66x,0.136211,1.121578,0.699011,0.016677,0.002798,1.213083
LZ4,1000,3,61.66x,0.128455,1.219379,0.680779,0.016799,0.002635,1.214692
LZ4,1000,4,61.66x,0.126932,1.213497,0.679512,0.029456,0.002514,1.204105
LZ4,1000,5,61.66x,0.130271,1.111380,0.679271,0.016472,0.002547,1.204668
LZ4,1000,6,61.66x,0.127445,1.199176,0.678037,0.016671,0.002941,1.203784
LZ4,1000,7,61.66x,0.127964,1.198575,0.678666,0.016274,0.002656,1.204895
LZ4,1000,8,61.66x,0.127624,1.126262,0.679870,0.017558,0.002581,1.211476
LZ4,1000,9,61.66x,0.130434,1.124421,0.684167,0.016853,0.002748,1.216556
LZ4,1000,10,61.66x,0.129728,1.137672,0.689671,0.016456,0.002694,1.221633
ZSTD,1,1,104.13x,0.001185,0.001062,0.102326,0.000152,0.000031,0.088107
ZSTD,1,2,104.13x,0.000325,0.001083,0.000184,0.000105,0.000025,0.000113
ZSTD,1,3,104.13x,0.000367,0.001072,0.004140,0.000145,0.000037,0.000123
ZSTD,1,4,104.13x,0.000358,0.001061,0.000157,0.000103,0.000029,0.000112
ZSTD,1,5,104.13x,0.000316,0.001111,0.000146,0.000097,0.000025,0.000120
ZSTD,1,6,104.13x,0.000347,0.001056,0.000178,0.000095,0.000029,0.000117
ZSTD,1,7,104.13x,0.000312,0.001139,0.000180,0.000130,0.000031,0.000123
ZSTD,1,8,104.13x,0.000305,0.001156,0.000146,0.000087,0.000027,0.000111
ZSTD,1,9,104.13x,0.000314,0.001086,0.000166,0.000093,0.000021,0.000112
ZSTD,1,10,104.13x,0.000333,0.001098,0.000177,0.000101,0.000028,0.000114
ZSTD,10,1,535.21x,0.002340,0.011325,0.001912,0.000163,0.000035,0.004841
ZSTD,10,2,535.21x,0.001921,0.009862,0.001882,0.000157,0.000033,0.000899
ZSTD,10,3,535.21x,0.002016,0.009893,0.001845,0.000183,0.000035,0.000892
ZSTD,10,4,535.21x,0.001969,0.009993,0.001837,0.000157,0.000034,0.000839
ZSTD,10,5,535.21x,0.001968,0.010176,0.001802,0.000152,0.000034,0.000849
ZSTD,10,6,535.21x,0.001968,0.010204,0.001833,0.000181,0.000032,0.000835
ZSTD,10,7,535.21x,0.001963,0.010010,0.001763,0.000178,0.000034,0.000845
ZSTD,10,8,535.21x,0.002096,0.010150,0.001692,0.000165,0.000035,0.000898
ZSTD,10,9,535.21x,0.001987,0.009961,0.001737,0.000178,0.000035,0.000827
ZSTD,10,10,535.21x,0.001957,0.010308,0.001838,0.000155,0.000035,0.000855
ZSTD,50,1,2237.49x,0.008740,0.055701,0.028305,0.000200,0.000026,0.031721
ZSTD,50,2,2237.49x,0.008665,0.052131,0.032730,0.000169,0.000040,0.028139
ZSTD,50,3,2237.49x,0.008622,0.054134,0.032870,0.000164,0.000037,0.027035
ZSTD,50,4,2237.49x,0.008677,0.059711,0.033141,0.000164,0.000043,0.026753
ZSTD,50,5,2237.49x,0.008798,0.052809,0.033721,0.000167,0.000038,0.027203
ZSTD,50,6,2237.49x,0.008747,0.051878,0.033440,0.000165,0.000042,0.028573
ZSTD,50,7,2237.49x,0.008697,0.051870,0.034312,0.000169,0.000041,0.028268
ZSTD,50,8,2237.49x,0.008678,0.055379,0.034239,0.000166,0.000039,0.028470
ZSTD,50,9,2237.49x,0.008973,0.056137,0.034295,0.000168,0.000038,0.027921
ZSTD,50,10,2237.49x,0.008877,0.056118,0.033925,0.000168,0.000039,0.027791
ZSTD,100,1,3714.14x,0.017321,0.117140,0.064937,0.000164,0.000040,0.055275
ZSTD,100,2,3714.14x,0.017276,0.117142,0.068492,0.000170,0.000038,0.057692
ZSTD,100,3,3714.14x,0.017321,0.129860,0.069555,0.000179,0.000037,0.056859
ZSTD,100,4,3714.14x,0.016912,0.116262,0.070346,0.000164,0.000039,0.056602
ZSTD,100,5,3714.14x,0.017044,0.124317,0.069713,0.000169,0.000040,0.057399
ZSTD,100,6,3714.14x,0.016989,0.122071,0.066002,0.000160,0.000025,0.058966
ZSTD,100,7,3714.14x,0.016848,0.126780,0.070428,0.000171,0.000038,0.056569
ZSTD,100,8,3714.14x,0.016934,0.117502,0.068989,0.000175,0.000060,0.057348
ZSTD,100,9,3714.14x,0.016868,0.115875,0.071062,0.000168,0.000040,0.057494
ZSTD,100,10,3714.14x,0.017030,0.117657,0.069475,0.000190,0.000041,0.057202
ZSTD,1000,1,9147.32x,0.162986,1.119215,0.596705,0.000253,0.000092,0.476895
ZSTD,1000,2,9147.32x,0.165107,1.128148,0.680107,0.000289,0.000034,0.569636
ZSTD,1000,3,9147.32x,0.164952,1.144277,0.677069,0.000256,0.000090,0.572670
ZSTD,1000,4,9147.32x,0.163849,1.147273,0.679966,0.000250,0.000033,0.572125
ZSTD,1000,5,9147.32x,0.165240,1.122956,0.673866,0.000257,0.000035,0.570860
ZSTD,1000,6,9147.32x,0.166877,1.138575,0.678911,0.000256,0.000033,0.567277
ZSTD,1000,7,9147.32x,0.164468,1.125960,0.678879,0.000253,0.000034,0.568863
ZSTD,1000,8,9147.32x,0.167096,1.119817,0.676352,0.000261,0.000034,0.572891
ZSTD,1000,9,9147.32x,0.163656,1.180260,0.673708,0.000253,0.000049,0.565985
ZSTD,1000,10,9147.32x,0.163138,1.160998,0.676436,0.000255,0.000034,0.562773
