algoritmo,size_mb,object_id,ratio_compresion,tiempo_compresion_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_comp_s,tiempo_io_read_comp_s,tiempo_descompresion_s
ZLIB,50,16,158.47x,0.193832,0.027634,0.021024,0.000306,0.000030,0.058432
ZLIB,50,17,158.47x,0.192478,0.027463,0.021003,0.000294,0.000041,0.059260
ZLIB,50,18,158.47x,0.194335,0.027077,0.021011,0.000301,0.000030,0.058995
ZLIB,50,19,158.47x,0.193049,0.028118,0.020969,0.000299,0.000040,0.058923
ZLIB,50,20,158.47x,0.193902,0.027992,0.021088,0.000294,0.000031,0.058491
ZLIB,50,21,158.47x,0.192700,0.028309,0.021439,0.000299,0.000038,0.059268
ZLIB,50,22,158.47x,0.193697,0.042107,0.020947,0.000307,0.000030,0.058741
ZLIB,50,23,158.47x,0.192985,0.027535,0.021311,0.000300,0.000039,0.059480
ZLIB,50,24,158.47x,0.194262,0.027778,0.020804,0.000298,0.000029,0.059143
ZLIB,50,25,158.47x,0.192521,0.027111,0.020764,0.000298,0.000041,0.059038
ZLIB,50,26,158.47x,0.193383,0.028285,0.021461,0.000300,0.000030,0.058814
ZLIB,50,27,158.47x,0.192989,0.028193,0.021459,0.000305,0.000040,0.058849
ZLIB,50,28,158.47x,0.193413,0.028121,0.021320,0.000305,0.000031,0.059097
ZLIB,50,29,158.47x,0.193260,0.027764,0.021276,0.000301,0.000041,0.059644
ZLIB,50,30,158.47x,0.193552,0.027745,0.020980,0.000304,0.000031,0.059116
ZLIB,50,31,158.47x,0.192944,0.028048,0.021235,0.000292,0.000040,0.059125
ZLIB,100,1,158.75x,0.454959,0.077993,0.039887,0.000452,0.000070,0.120222
ZLIB,100,2,158.75x,0.460495,0.076106,0.040808,0.000448,0.000058,0.120818
ZLIB,100,3,158.75x,0.387211,0.076478,0.040588,0.000446,0.000063,0.121207
ZLIB,100,4,158.75x,0.386320,0.093272,0.039888,0.000438,0.000068,0.121262
ZLIB,100,5,158.75x,0.387352,0.076730,0.040633,0.000441,0.000064,0.120777
ZLIB,100,6,158.75x,0.385107,0.075632,0.040862,0.000435,0.000064,0.120405
ZLIB,100,7,158.75x,0.387268,0.082238,0.040403,0.000437,0.000060,0.121171
